fecha,n
2021-03-18,258
2021-03-19,261
2021-03-20,207
2021-03-21,201
2021-03-22,255
2021-03-23,262
2021-03-24,216
2021-03-25,219
2021-03-26,262
2021-03-27,199
2021-03-28,200
2021-03-29,286
2021-03-30,257
2021-03-31,290
2021-04-01,175
2021-04-02,178
2021-04-03,208
2021-04-04,181
2021-04-05,288
2021-04-06,273
2021-04-07,289
2021-04-08,263
2021-04-09,231
2021-04-10,176
2021-04-11,160
2021-04-12,230
2021-04-13,210
2021-04-14,240
2021-04-15,273
2021-04-16,231
2021-04-17,177
2021-04-18,151
2021-04-19,216
2021-04-20,241
2021-04-21,214
2021-04-22,201
2021-04-23,244
2021-04-24,180
2021-04-25,162
2021-04-26,254
2021-04-27,205
2021-04-28,219
2021-04-29,222
2021-04-30,232
2021-05-01,147
2021-05-02,150
2021-05-03,220
2021-05-04,231
2021-05-05,207
2021-05-06,218
2021-05-07,236
2021-05-08,187
2021-05-09,146
2021-05-10,227
2021-05-11,264
2021-05-12,227
2021-05-13,228
2021-05-14,211
2021-05-15,181
2021-05-16,123
2021-05-17,221
2021-05-18,203
2021-05-19,218
2021-05-20,215
2021-05-21,190
2021-05-22,98
2021-05-23,120
2021-05-24,113
2021-05-25,130
2021-05-26,200
2021-05-27,184
2021-05-28,207
2021-05-29,166
2021-05-30,130
2021-05-31,232
2021-06-01,260
2021-06-02,263
2021-06-03,222
2021-06-04,254
2021-06-05,159
2021-06-06,134
2021-06-07,288
2021-06-08,229
2021-06-09,244
2021-06-10,264
2021-06-11,252
2021-06-12,229
2021-06-13,165
2021-06-14,256
2021-06-15,242
2021-06-16,244
2021-06-17,234
2021-06-18,234
2021-06-19,190
2021-06-20,160
2021-06-21,152
2021-06-22,263
2021-06-23,206
2021-06-24,254
2021-06-25,285
2021-06-26,174
2021-06-27,142
2021-06-28,243
2021-06-29,207
2021-06-30,238
2021-07-01,231
2021-07-02,271
2021-07-03,215
2021-07-04,175
2021-07-05,276
2021-07-06,241
2021-07-07,205
2021-07-08,232
2021-07-09,187
2021-07-10,250
2021-07-11,226
2021-07-12,221
2021-07-13,234
2021-07-14,254
2021-07-15,255
2021-07-16,268
2021-07-17,216
2021-07-18,163
2021-07-19,257
2021-07-20,266
2021-07-21,273
2021-07-22,256
2021-07-23,251
2021-07-24,206
2021-07-25,192
2021-07-26,238
2021-07-27,238
2021-07-28,263
2021-07-29,249
2021-07-30,277
2021-07-31,218
2021-08-01,206
2021-08-02,258
2021-08-03,247
2021-08-04,287
2021-08-05,271
2021-08-06,291
2021-08-07,236
2021-08-08,143
2021-08-09,214
2021-08-10,263
2021-08-11,248
2021-08-12,257
2021-08-13,273
2021-08-14,226
2021-08-15,175
2021-08-16,182
2021-08-17,266
2021-08-18,296
2021-08-19,227
2021-08-20,296
2021-08-21,220
2021-08-22,207
2021-08-23,274
2021-08-24,261
2021-08-25,238
2021-08-26,273
2021-08-27,301
2021-08-28,221
2021-08-29,230
2021-08-30,285
2021-08-31,272
2021-09-01,252
2021-09-02,211
2021-09-03,270
2021-09-04,215
2021-09-05,193
2021-09-06,227
2021-09-07,207
2021-09-08,220
2021-09-09,280
2021-09-10,254
2021-09-11,222
2021-09-12,194
2021-09-13,239
2021-09-14,277
2021-09-15,280
2021-09-16,238
2021-09-17,286
2021-09-18,227
2021-09-19,192
2021-09-20,264
2021-09-21,275
2021-09-22,248
2021-09-23,249
2021-09-24,304
2021-09-25,227
2021-09-26,204
2021-09-27,259
2021-09-28,244
2021-09-29,246
2021-09-30,235
2021-10-01,302
2021-10-02,210
2021-10-03,203
2021-10-04,256
2021-10-05,291
2021-10-06,253
2021-10-07,244
2021-10-08,189
2021-10-09,214
2021-10-10,180
2021-10-11,214
2021-10-12,303
2021-10-13,253
2021-10-14,262
2021-10-15,275
2021-10-16,257
2021-10-17,213
2021-10-18,255
2021-10-19,284
2021-10-20,276
2021-10-21,260
2021-10-22,250
2021-10-23,264
2021-10-24,222
2021-10-25,293
2021-10-26,240
2021-10-27,252
2021-10-28,243
2021-10-29,261
2021-10-30,234
2021-10-31,212
2021-11-01,286
2021-11-02,314
2021-11-03,267
2021-11-04,293
2021-11-05,297
2021-11-06,390
2021-11-07,236
2021-11-08,281
2021-11-09,262
2021-11-10,321
2021-11-11,314
2021-11-12,294
2021-11-13,273
2021-11-14,201
2021-11-15,269
2021-11-16,304
2021-11-17,296
2021-11-18,308
2021-11-19,301
2021-11-20,238
2021-11-21,193
2021-11-22,207
2021-11-23,302
2021-11-24,313
2021-11-25,268
2021-11-26,314
2021-11-27,268
2021-11-28,210
2021-11-29,332
2021-11-30,301
2021-12-01,300
2021-12-02,280
2021-12-03,302
2021-12-04,293
2021-12-05,234
2021-12-06,303
2021-12-07,343
2021-12-08,277
2021-12-09,327
2021-12-10,343
2021-12-11,273
2021-12-12,247
2021-12-13,294
2021-12-14,314
2021-12-15,296
2021-12-16,291
2021-12-17,360
2021-12-18,290
2021-12-19,220
2021-12-20,320
2021-12-21,328
2021-12-22,290
2021-12-23,312
2021-12-24,183
2021-12-25,146
2021-12-26,168
2021-12-27,271
2021-12-28,253
2021-12-29,276
2021-12-30,259
2021-12-31,153
