,Date,unique_id,visits,CPI,Inflation_Rate,GDP,static_1,static_2,static_3,static_4
46,2001-11-01,AAAHol,379.760075,74.6,0.044,379629000000.0,A,A,A,Hol
47,2001-12-01,AAAHol,489.2132549,74.6,0.044,379629000000.0,A,A,A,Hol
48,2002-01-01,AAAHol,695.3456115,76.9,0.03,395789000000.0,A,A,A,Hol
49,2002-02-01,AAAHol,368.045399,76.9,0.03,395789000000.0,A,A,A,Hol
50,2002-03-01,AAAHol,528.3578755,76.9,0.03,395789000000.0,A,A,A,Hol
51,2002-04-01,AAAHol,474.4448619,76.9,0.03,395789000000.0,A,A,A,Hol
52,2002-05-01,AAAHol,346.1565998,76.9,0.03,395789000000.0,A,A,A,Hol
53,2002-06-01,AAAHol,448.9577166,76.9,0.03,395789000000.0,A,A,A,Hol
54,2002-07-01,AAAHol,587.1410326,76.9,0.03,395789000000.0,A,A,A,Hol
55,2002-08-01,AAAHol,356.2392323,76.9,0.03,395789000000.0,A,A,A,Hol
56,2002-09-01,AAAHol,401.9830909,76.9,0.03,395789000000.0,A,A,A,Hol
57,2002-10-01,AAAHol,653.0702227,76.9,0.03,395789000000.0,A,A,A,Hol
58,2002-11-01,AAAHol,411.8489238,76.9,0.03,395789000000.0,A,A,A,Hol
59,2002-12-01,AAAHol,445.7893952,76.9,0.03,395789000000.0,A,A,A,Hol
60,2003-01-01,AAAHol,794.318027,78.9,0.027,467739000000.0,A,A,A,Hol
61,2003-02-01,AAAHol,318.4361022,78.9,0.027,467739000000.0,A,A,A,Hol
62,2003-03-01,AAAHol,428.1911045,78.9,0.027,467739000000.0,A,A,A,Hol
63,2003-04-01,AAAHol,295.266088,78.9,0.027,467739000000.0,A,A,A,Hol
64,2003-05-01,AAAHol,364.6970383,78.9,0.027,467739000000.0,A,A,A,Hol
65,2003-06-01,AAAHol,446.5920104,78.9,0.027,467739000000.0,A,A,A,Hol
66,2003-07-01,AAAHol,420.3823714,78.9,0.027,467739000000.0,A,A,A,Hol
67,2003-08-01,AAAHol,346.9932004,78.9,0.027,467739000000.0,A,A,A,Hol
68,2003-09-01,AAAHol,279.2356064,78.9,0.027,467739000000.0,A,A,A,Hol
69,2003-10-01,AAAHol,612.8495539,78.9,0.027,467739000000.0,A,A,A,Hol
70,2003-11-01,AAAHol,449.396209,78.9,0.027,467739000000.0,A,A,A,Hol
71,2003-12-01,AAAHol,359.2138234,78.9,0.027,467739000000.0,A,A,A,Hol
72,2004-01-01,AAAHol,967.7544835,80.8,0.023,614660000000.0,A,A,A,Hol
73,2004-02-01,AAAHol,309.6226813,80.8,0.023,614660000000.0,A,A,A,Hol
74,2004-03-01,AAAHol,461.9711902,80.8,0.023,614660000000.0,A,A,A,Hol
75,2004-04-01,AAAHol,575.4365704,80.8,0.023,614660000000.0,A,A,A,Hol
76,2004-05-01,AAAHol,428.3207667,80.8,0.023,614660000000.0,A,A,A,Hol
77,2004-06-01,AAAHol,313.29745,80.8,0.023,614660000000.0,A,A,A,Hol
78,2004-07-01,AAAHol,594.7654733,80.8,0.023,614660000000.0,A,A,A,Hol
79,2004-08-01,AAAHol,349.033646,80.8,0.023,614660000000.0,A,A,A,Hol
80,2004-09-01,AAAHol,493.3791315,80.8,0.023,614660000000.0,A,A,A,Hol
81,2004-10-01,AAAHol,702.5614234,80.8,0.023,614660000000.0,A,A,A,Hol
82,2004-11-01,AAAHol,315.5684336,80.8,0.023,614660000000.0,A,A,A,Hol
83,2004-12-01,AAAHol,282.6793822,80.8,0.023,614660000000.0,A,A,A,Hol
84,2005-01-01,AAAHol,983.7844689,83.0,0.027,695693000000.0,A,A,A,Hol
85,2005-02-01,AAAHol,522.7466706,83.0,0.027,695693000000.0,A,A,A,Hol
86,2005-03-01,AAAHol,402.7783252,83.0,0.027,695693000000.0,A,A,A,Hol
87,2005-04-01,AAAHol,377.1326009,83.0,0.027,695693000000.0,A,A,A,Hol
88,2005-05-01,AAAHol,356.4332533,83.0,0.027,695693000000.0,A,A,A,Hol
89,2005-06-01,AAAHol,309.5763906,83.0,0.027,695693000000.0,A,A,A,Hol
90,2005-07-01,AAAHol,383.486796,83.0,0.027,695693000000.0,A,A,A,Hol
91,2005-08-01,AAAHol,296.3783679,83.0,0.027,695693000000.0,A,A,A,Hol
92,2005-09-01,AAAHol,375.9581948,83.0,0.027,695693000000.0,A,A,A,Hol
93,2005-10-01,AAAHol,453.4595443,83.0,0.027,695693000000.0,A,A,A,Hol
94,2005-11-01,AAAHol,420.1260579,83.0,0.027,695693000000.0,A,A,A,Hol
95,2005-12-01,AAAHol,297.2867808,83.0,0.027,695693000000.0,A,A,A,Hol
96,2006-01-01,AAAHol,1109.198716,85.9,0.036,748418000000.0,A,A,A,Hol
97,2006-02-01,AAAHol,436.213645,85.9,0.036,748418000000.0,A,A,A,Hol
98,2006-03-01,AAAHol,349.665635,85.9,0.036,748418000000.0,A,A,A,Hol
99,2006-04-01,AAAHol,594.442909,85.9,0.036,748418000000.0,A,A,A,Hol
100,2006-05-01,AAAHol,359.582681,85.9,0.036,748418000000.0,A,A,A,Hol
101,2006-06-01,AAAHol,508.961222,85.9,0.036,748418000000.0,A,A,A,Hol
102,2006-07-01,AAAHol,330.661181,85.9,0.036,748418000000.0,A,A,A,Hol
103,2006-08-01,AAAHol,472.00264,85.9,0.036,748418000000.0,A,A,A,Hol
104,2006-09-01,AAAHol,460.619082,85.9,0.036,748418000000.0,A,A,A,Hol
105,2006-10-01,AAAHol,537.451282,85.9,0.036,748418000000.0,A,A,A,Hol
106,2006-11-01,AAAHol,515.761087,85.9,0.036,748418000000.0,A,A,A,Hol
107,2006-12-01,AAAHol,465.860338,85.9,0.036,748418000000.0,A,A,A,Hol
108,2007-01-01,AAAHol,1312.626056,87.9,0.023,855007000000.0,A,A,A,Hol
109,2007-02-01,AAAHol,454.2913835,87.9,0.023,855007000000.0,A,A,A,Hol
110,2007-03-01,AAAHol,339.9117638,87.9,0.023,855007000000.0,A,A,A,Hol
111,2007-04-01,AAAHol,536.7155287,87.9,0.023,855007000000.0,A,A,A,Hol
112,2007-05-01,AAAHol,275.2366046,87.9,0.023,855007000000.0,A,A,A,Hol
113,2007-06-01,AAAHol,505.4227153,87.9,0.023,855007000000.0,A,A,A,Hol
114,2007-07-01,AAAHol,690.756111,87.9,0.023,855007000000.0,A,A,A,Hol
115,2007-08-01,AAAHol,435.5890059,87.9,0.023,855007000000.0,A,A,A,Hol
116,2007-09-01,AAAHol,335.1899146,87.9,0.023,855007000000.0,A,A,A,Hol
117,2007-10-01,AAAHol,607.690222,87.9,0.023,855007000000.0,A,A,A,Hol
118,2007-11-01,AAAHol,265.5277696,87.9,0.023,855007000000.0,A,A,A,Hol
119,2007-12-01,AAAHol,329.6353214,87.9,0.023,855007000000.0,A,A,A,Hol
120,2008-01-01,AAAHol,1372.439224,91.8,0.044,1056110000000.0,A,A,A,Hol
121,2008-02-01,AAAHol,366.155374,91.8,0.044,1056110000000.0,A,A,A,Hol
122,2008-03-01,AAAHol,427.7209294,91.8,0.044,1056110000000.0,A,A,A,Hol
123,2008-04-01,AAAHol,669.3772728,91.8,0.044,1056110000000.0,A,A,A,Hol
124,2008-05-01,AAAHol,359.6745977,91.8,0.044,1056110000000.0,A,A,A,Hol
125,2008-06-01,AAAHol,469.4797233,91.8,0.044,1056110000000.0,A,A,A,Hol
126,2008-07-01,AAAHol,731.4609236,91.8,0.044,1056110000000.0,A,A,A,Hol
127,2008-08-01,AAAHol,527.6694598,91.8,0.044,1056110000000.0,A,A,A,Hol
128,2008-09-01,AAAHol,495.3754251,91.8,0.044,1056110000000.0,A,A,A,Hol
129,2008-10-01,AAAHol,414.5905726,91.8,0.044,1056110000000.0,A,A,A,Hol
130,2008-11-01,AAAHol,482.1245234,91.8,0.044,1056110000000.0,A,A,A,Hol
131,2008-12-01,AAAHol,433.800122,91.8,0.044,1056110000000.0,A,A,A,Hol
132,2009-01-01,AAAHol,1194.398732,93.4,0.018,928762000000.0,A,A,A,Hol
133,2009-02-01,AAAHol,338.9645652,93.4,0.018,928762000000.0,A,A,A,Hol
134,2009-03-01,AAAHol,305.1470027,93.4,0.018,928762000000.0,A,A,A,Hol
135,2009-04-01,AAAHol,524.8319201,93.4,0.018,928762000000.0,A,A,A,Hol
136,2009-05-01,AAAHol,507.400617,93.4,0.018,928762000000.0,A,A,A,Hol
137,2009-06-01,AAAHol,257.1122195,93.4,0.018,928762000000.0,A,A,A,Hol
138,2009-07-01,AAAHol,395.6034,93.4,0.018,928762000000.0,A,A,A,Hol
139,2009-08-01,AAAHol,383.1148648,93.4,0.018,928762000000.0,A,A,A,Hol
140,2009-09-01,AAAHol,365.7506512,93.4,0.018,928762000000.0,A,A,A,Hol
141,2009-10-01,AAAHol,573.8822286,93.4,0.018,928762000000.0,A,A,A,Hol
142,2009-11-01,AAAHol,462.4421357,93.4,0.018,928762000000.0,A,A,A,Hol
143,2009-12-01,AAAHol,381.289743,93.4,0.018,928762000000.0,A,A,A,Hol
144,2010-01-01,AAAHol,1208.252985,96.1,0.029,1148890000000.0,A,A,A,Hol
145,2010-02-01,AAAHol,600.559109,96.1,0.029,1148890000000.0,A,A,A,Hol
146,2010-03-01,AAAHol,414.1746253,96.1,0.029,1148890000000.0,A,A,A,Hol
147,2010-04-01,AAAHol,530.601307,96.1,0.029,1148890000000.0,A,A,A,Hol
148,2010-05-01,AAAHol,247.1515905,96.1,0.029,1148890000000.0,A,A,A,Hol
149,2010-06-01,AAAHol,560.5347485,96.1,0.029,1148890000000.0,A,A,A,Hol
150,2010-07-01,AAAHol,428.7178667,96.1,0.029,1148890000000.0,A,A,A,Hol
151,2010-08-01,AAAHol,424.1466039,96.1,0.029,1148890000000.0,A,A,A,Hol
152,2010-09-01,AAAHol,435.6828085,96.1,0.029,1148890000000.0,A,A,A,Hol
153,2010-10-01,AAAHol,572.9401322,96.1,0.029,1148890000000.0,A,A,A,Hol
154,2010-11-01,AAAHol,518.8597789,96.1,0.029,1148890000000.0,A,A,A,Hol
155,2010-12-01,AAAHol,484.1769496,96.1,0.029,1148890000000.0,A,A,A,Hol
156,2011-01-01,AAAHol,1214.320156,99.3,0.033,1398700000000.0,A,A,A,Hol
157,2011-02-01,AAAHol,379.0860827,99.3,0.033,1398700000000.0,A,A,A,Hol
158,2011-03-01,AAAHol,341.7711408,99.3,0.033,1398700000000.0,A,A,A,Hol
159,2011-04-01,AAAHol,804.3189781,99.3,0.033,1398700000000.0,A,A,A,Hol
160,2011-05-01,AAAHol,392.5310641,99.3,0.033,1398700000000.0,A,A,A,Hol
161,2011-06-01,AAAHol,380.8342184,99.3,0.033,1398700000000.0,A,A,A,Hol
162,2011-07-01,AAAHol,549.3333599,99.3,0.033,1398700000000.0,A,A,A,Hol
163,2011-08-01,AAAHol,346.2326786,99.3,0.033,1398700000000.0,A,A,A,Hol
164,2011-09-01,AAAHol,246.1150372,99.3,0.033,1398700000000.0,A,A,A,Hol
165,2011-10-01,AAAHol,434.8558231,99.3,0.033,1398700000000.0,A,A,A,Hol
166,2011-11-01,AAAHol,387.0550001,99.3,0.033,1398700000000.0,A,A,A,Hol
167,2011-12-01,AAAHol,380.7181521,99.3,0.033,1398700000000.0,A,A,A,Hol
168,2012-01-01,AAAHol,1121.231999,101.0,0.018,1547650000000.0,A,A,A,Hol
169,2012-02-01,AAAHol,413.4289147,101.0,0.018,1547650000000.0,A,A,A,Hol
170,2012-03-01,AAAHol,390.155702,101.0,0.018,1547650000000.0,A,A,A,Hol
171,2012-04-01,AAAHol,444.4122114,101.0,0.018,1547650000000.0,A,A,A,Hol
172,2012-05-01,AAAHol,337.672338,101.0,0.018,1547650000000.0,A,A,A,Hol
173,2012-06-01,AAAHol,415.8098346,101.0,0.018,1547650000000.0,A,A,A,Hol
174,2012-07-01,AAAHol,397.6051861,101.0,0.018,1547650000000.0,A,A,A,Hol
175,2012-08-01,AAAHol,406.4534907,101.0,0.018,1547650000000.0,A,A,A,Hol
176,2012-09-01,AAAHol,578.4100774,101.0,0.018,1547650000000.0,A,A,A,Hol
177,2012-10-01,AAAHol,447.306145,101.0,0.018,1547650000000.0,A,A,A,Hol
178,2012-11-01,AAAHol,385.0679726,101.0,0.018,1547650000000.0,A,A,A,Hol
179,2012-12-01,AAAHol,297.5763983,101.0,0.018,1547650000000.0,A,A,A,Hol
180,2013-01-01,AAAHol,1309.64279,103.5,0.024,1577300000000.0,A,A,A,Hol
181,2013-02-01,AAAHol,303.9589482,103.5,0.024,1577300000000.0,A,A,A,Hol
182,2013-03-01,AAAHol,415.9959241,103.5,0.024,1577300000000.0,A,A,A,Hol
183,2013-04-01,AAAHol,517.3055696,103.5,0.024,1577300000000.0,A,A,A,Hol
184,2013-05-01,AAAHol,482.2917176,103.5,0.024,1577300000000.0,A,A,A,Hol
185,2013-06-01,AAAHol,416.6691755,103.5,0.024,1577300000000.0,A,A,A,Hol
186,2013-07-01,AAAHol,561.7835984,103.5,0.024,1577300000000.0,A,A,A,Hol
187,2013-08-01,AAAHol,343.7426655,103.5,0.024,1577300000000.0,A,A,A,Hol
188,2013-09-01,AAAHol,458.3708482,103.5,0.024,1577300000000.0,A,A,A,Hol
189,2013-10-01,AAAHol,621.5111428,103.5,0.024,1577300000000.0,A,A,A,Hol
190,2013-11-01,AAAHol,405.718434,103.5,0.024,1577300000000.0,A,A,A,Hol
191,2013-12-01,AAAHol,496.8503262,103.5,0.024,1577300000000.0,A,A,A,Hol
192,2014-01-01,AAAHol,1139.964819,106.1,0.025,1468600000000.0,A,A,A,Hol
193,2014-02-01,AAAHol,401.3639446,106.1,0.025,1468600000000.0,A,A,A,Hol
194,2014-03-01,AAAHol,483.7733145,106.1,0.025,1468600000000.0,A,A,A,Hol
195,2014-04-01,AAAHol,553.7399456,106.1,0.025,1468600000000.0,A,A,A,Hol
196,2014-05-01,AAAHol,440.97737,106.1,0.025,1468600000000.0,A,A,A,Hol
197,2014-06-01,AAAHol,445.9617471,106.1,0.025,1468600000000.0,A,A,A,Hol
198,2014-07-01,AAAHol,498.6959729,106.1,0.025,1468600000000.0,A,A,A,Hol
199,2014-08-01,AAAHol,347.3772733,106.1,0.025,1468600000000.0,A,A,A,Hol
200,2014-09-01,AAAHol,380.4433448,106.1,0.025,1468600000000.0,A,A,A,Hol
201,2014-10-01,AAAHol,454.9619154,106.1,0.025,1468600000000.0,A,A,A,Hol
202,2014-11-01,AAAHol,416.6717101,106.1,0.025,1468600000000.0,A,A,A,Hol
203,2014-12-01,AAAHol,505.8438481,106.1,0.025,1468600000000.0,A,A,A,Hol
204,2015-01-01,AAAHol,1241.771002,107.7,0.015,1351770000000.0,A,A,A,Hol
205,2015-02-01,AAAHol,350.8072952,107.7,0.015,1351770000000.0,A,A,A,Hol
206,2015-03-01,AAAHol,488.0649765,107.7,0.015,1351770000000.0,A,A,A,Hol
207,2015-04-01,AAAHol,548.894199,107.7,0.015,1351770000000.0,A,A,A,Hol
208,2015-05-01,AAAHol,517.8356467,107.7,0.015,1351770000000.0,A,A,A,Hol
209,2015-06-01,AAAHol,558.2698852,107.7,0.015,1351770000000.0,A,A,A,Hol
210,2015-07-01,AAAHol,412.2641573,107.7,0.015,1351770000000.0,A,A,A,Hol
211,2015-08-01,AAAHol,424.1680508,107.7,0.015,1351770000000.0,A,A,A,Hol
212,2015-09-01,AAAHol,485.2176138,107.7,0.015,1351770000000.0,A,A,A,Hol
213,2015-10-01,AAAHol,613.954674,107.7,0.015,1351770000000.0,A,A,A,Hol
214,2015-11-01,AAAHol,572.8421445,107.7,0.015,1351770000000.0,A,A,A,Hol
215,2015-12-01,AAAHol,299.2605151,107.7,0.015,1351770000000.0,A,A,A,Hol
216,2016-01-01,AAAHol,1040.991606,109.1,0.013,1207580000000.0,A,A,A,Hol
217,2016-02-01,AAAHol,358.0915498,109.1,0.013,1207580000000.0,A,A,A,Hol
218,2016-03-01,AAAHol,407.402452,109.1,0.013,1207580000000.0,A,A,A,Hol
219,2016-04-01,AAAHol,511.7286827,109.1,0.013,1207580000000.0,A,A,A,Hol
220,2016-05-01,AAAHol,482.610279,109.1,0.013,1207580000000.0,A,A,A,Hol
221,2016-06-01,AAAHol,531.179298,109.1,0.013,1207580000000.0,A,A,A,Hol
222,2016-07-01,AAAHol,636.639074,109.1,0.013,1207580000000.0,A,A,A,Hol
223,2016-08-01,AAAHol,383.5262164,109.1,0.013,1207580000000.0,A,A,A,Hol
224,2016-09-01,AAAHol,484.9599985,109.1,0.013,1207580000000.0,A,A,A,Hol
225,2016-10-01,AAAHol,399.8676681,109.1,0.013,1207580000000.0,A,A,A,Hol
226,2016-11-01,AAAHol,347.3370516,109.1,0.013,1207580000000.0,A,A,A,Hol
227,2016-12-01,AAAHol,287.9626827,109.1,0.013,1207580000000.0,A,A,A,Hol
228,1998-01-01,AAAVis,1379.273926,67.4,0.009,399674000000.0,A,A,A,Vis
229,1998-02-01,AAAVis,645.9808573,67.4,0.009,399674000000.0,A,A,A,Vis
230,1998-03-01,AAAVis,683.2845917,67.4,0.009,399674000000.0,A,A,A,Vis
231,1998-04-01,AAAVis,819.8076463,67.4,0.009,399674000000.0,A,A,A,Vis
232,1998-05-01,AAAVis,693.5317521,67.4,0.009,399674000000.0,A,A,A,Vis
233,1998-06-01,AAAVis,664.9238774,67.4,0.009,399674000000.0,A,A,A,Vis
234,1998-07-01,AAAVis,828.357876,67.4,0.009,399674000000.0,A,A,A,Vis
235,1998-08-01,AAAVis,706.5932942,67.4,0.009,399674000000.0,A,A,A,Vis
236,1998-09-01,AAAVis,684.9022889,67.4,0.009,399674000000.0,A,A,A,Vis
237,1998-10-01,AAAVis,1122.5636,67.4,0.009,399674000000.0,A,A,A,Vis
238,1998-11-01,AAAVis,709.4319467,67.4,0.009,399674000000.0,A,A,A,Vis
239,1998-12-01,AAAVis,983.9408337,67.4,0.009,399674000000.0,A,A,A,Vis
240,1999-01-01,AAAVis,1483.188287,68.4,0.015,389652000000.0,A,A,A,Vis
241,1999-02-01,AAAVis,574.1434201,68.4,0.015,389652000000.0,A,A,A,Vis
242,1999-03-01,AAAVis,1096.47017,68.4,0.015,389652000000.0,A,A,A,Vis
243,1999-04-01,AAAVis,1071.537593,68.4,0.015,389652000000.0,A,A,A,Vis
244,1999-05-01,AAAVis,706.6120114,68.4,0.015,389652000000.0,A,A,A,Vis
245,1999-06-01,AAAVis,580.5597339,68.4,0.015,389652000000.0,A,A,A,Vis
246,1999-07-01,AAAVis,636.3139158,68.4,0.015,389652000000.0,A,A,A,Vis
247,1999-08-01,AAAVis,968.8630014,68.4,0.015,389652000000.0,A,A,A,Vis
248,1999-09-01,AAAVis,695.9315439,68.4,0.015,389652000000.0,A,A,A,Vis
249,1999-10-01,AAAVis,821.9943339,68.4,0.015,389652000000.0,A,A,A,Vis
250,1999-11-01,AAAVis,1087.442586,68.4,0.015,389652000000.0,A,A,A,Vis
251,1999-12-01,AAAVis,815.6452832,68.4,0.015,389652000000.0,A,A,A,Vis
252,2000-01-01,AAAVis,1392.96886,71.5,0.045,416168000000.0,A,A,A,Vis
253,2000-02-01,AAAVis,501.4959941,71.5,0.045,416168000000.0,A,A,A,Vis
254,2000-03-01,AAAVis,557.374767,71.5,0.045,416168000000.0,A,A,A,Vis
255,2000-04-01,AAAVis,807.179156,71.5,0.045,416168000000.0,A,A,A,Vis
256,2000-05-01,AAAVis,728.5124231,71.5,0.045,416168000000.0,A,A,A,Vis
257,2000-06-01,AAAVis,742.4614433,71.5,0.045,416168000000.0,A,A,A,Vis
258,2000-07-01,AAAVis,775.3513401,71.5,0.045,416168000000.0,A,A,A,Vis
259,2000-08-01,AAAVis,551.080834,71.5,0.045,416168000000.0,A,A,A,Vis
260,2000-09-01,AAAVis,974.1998204,71.5,0.045,416168000000.0,A,A,A,Vis
261,2000-10-01,AAAVis,782.1437731,71.5,0.045,416168000000.0,A,A,A,Vis
262,2000-11-01,AAAVis,801.6249531,71.5,0.045,416168000000.0,A,A,A,Vis
263,2000-12-01,AAAVis,1124.521346,71.5,0.045,416168000000.0,A,A,A,Vis
264,2001-01-01,AAAVis,1588.128208,74.6,0.044,379629000000.0,A,A,A,Vis
265,2001-02-01,AAAVis,977.6443829,74.6,0.044,379629000000.0,A,A,A,Vis
266,2001-03-01,AAAVis,643.8125444,74.6,0.044,379629000000.0,A,A,A,Vis
267,2001-04-01,AAAVis,1158.565877,74.6,0.044,379629000000.0,A,A,A,Vis
268,2001-05-01,AAAVis,638.892269,74.6,0.044,379629000000.0,A,A,A,Vis
269,2001-06-01,AAAVis,695.2408861,74.6,0.044,379629000000.0,A,A,A,Vis
270,2001-07-01,AAAVis,1294.389916,74.6,0.044,379629000000.0,A,A,A,Vis
271,2001-08-01,AAAVis,810.2668363,74.6,0.044,379629000000.0,A,A,A,Vis
272,2001-09-01,AAAVis,689.1729589,74.6,0.044,379629000000.0,A,A,A,Vis
273,2001-10-01,AAAVis,687.4821652,74.6,0.044,379629000000.0,A,A,A,Vis
274,2001-11-01,AAAVis,633.1365938,74.6,0.044,379629000000.0,A,A,A,Vis
275,2001-12-01,AAAVis,912.9286715,74.6,0.044,379629000000.0,A,A,A,Vis
276,2002-01-01,AAAVis,1424.181919,76.9,0.03,395789000000.0,A,A,A,Vis
277,2002-02-01,AAAVis,470.8740427,76.9,0.03,395789000000.0,A,A,A,Vis
278,2002-03-01,AAAVis,759.4867622,76.9,0.03,395789000000.0,A,A,A,Vis
279,2002-04-01,AAAVis,1023.987193,76.9,0.03,395789000000.0,A,A,A,Vis
280,2002-05-01,AAAVis,888.0447316,76.9,0.03,395789000000.0,A,A,A,Vis
281,2002-06-01,AAAVis,568.4753445,76.9,0.03,395789000000.0,A,A,A,Vis
282,2002-07-01,AAAVis,760.311565,76.9,0.03,395789000000.0,A,A,A,Vis
283,2002-08-01,AAAVis,729.0384223,76.9,0.03,395789000000.0,A,A,A,Vis
284,2002-09-01,AAAVis,805.7570793,76.9,0.03,395789000000.0,A,A,A,Vis
285,2002-10-01,AAAVis,901.3743455,76.9,0.03,395789000000.0,A,A,A,Vis
286,2002-11-01,AAAVis,862.8640461,76.9,0.03,395789000000.0,A,A,A,Vis
287,2002-12-01,AAAVis,983.5713122,76.9,0.03,395789000000.0,A,A,A,Vis
288,2003-01-01,AAAVis,1310.746375,78.9,0.027,467739000000.0,A,A,A,Vis
289,2003-02-01,AAAVis,748.8393234,78.9,0.027,467739000000.0,A,A,A,Vis
290,2003-03-01,AAAVis,724.2351226,78.9,0.027,467739000000.0,A,A,A,Vis
291,2003-04-01,AAAVis,867.4524051,78.9,0.027,467739000000.0,A,A,A,Vis
292,2003-05-01,AAAVis,807.3368115,78.9,0.027,467739000000.0,A,A,A,Vis
293,2003-06-01,AAAVis,589.1279932,78.9,0.027,467739000000.0,A,A,A,Vis
294,2003-07-01,AAAVis,952.124327,78.9,0.027,467739000000.0,A,A,A,Vis
295,2003-08-01,AAAVis,595.0212269,78.9,0.027,467739000000.0,A,A,A,Vis
296,2003-09-01,AAAVis,786.9380722,78.9,0.027,467739000000.0,A,A,A,Vis
297,2003-10-01,AAAVis,596.8374634,78.9,0.027,467739000000.0,A,A,A,Vis
298,2003-11-01,AAAVis,690.5707834,78.9,0.027,467739000000.0,A,A,A,Vis
299,2003-12-01,AAAVis,1283.560593,78.9,0.027,467739000000.0,A,A,A,Vis
300,2004-01-01,AAAVis,1342.829268,80.8,0.023,614660000000.0,A,A,A,Vis
