Week ending,Source,East Region,Midwest Region,Mountain Region,Pacific Region,South Central Region,Salt,NonSalt,Total Lower 48,,,,,,,,
31-May-13,Derived EIA Weekly Estimates,491.00,473.00,132.00,304.00,852.00,254.00,598.00,2252.00,,,,,,,,
07-Jun-13,Derived EIA Weekly Estimates,520.00,500.00,137.00,313.00,877.00,259.00,618.00,2347.00,,,,,,,,
14-Jun-13,Derived EIA Weekly Estimates,551.00,529.00,140.00,321.00,898.00,261.00,637.00,2439.00,,,,,,,,
21-Jun-13,Derived EIA Weekly Estimates,578.00,560.00,144.00,330.00,922.00,263.00,659.00,2533.00,,,,,,,,
28-Jun-13,Derived EIA Weekly Estimates,599.00,586.00,148.00,336.00,936.00,265.00,671.00,2606.00,,,,,,,,
05-Jul-13,Derived EIA Weekly Estimates,622.00,616.00,152.00,334.00,963.00,274.00,689.00,2687.00,,,,,,,,
12-Jul-13,Derived EIA Weekly Estimates,634.00,641.00,154.00,337.00,979.00,275.00,704.00,2745.00,,,,,,,,
19-Jul-13,Derived EIA Weekly Estimates,642.00,658.00,157.00,337.00,990.00,274.00,716.00,2786.00,,,,,,,,
26-Jul-13,Derived EIA Weekly Estimates,661.00,684.00,160.00,340.00,1001.00,267.00,734.00,2845.00,,,,,,,,
02-Aug-13,Derived EIA Weekly Estimates,687.00,715.00,164.00,359.00,1015.00,265.00,750.00,2940.00,,,,,,,,
09-Aug-13,Derived EIA Weekly Estimates,708.00,745.00,168.00,366.00,1020.00,261.00,759.00,3007.00,,,,,,,,
16-Aug-13,Derived EIA Weekly Estimates,725.00,774.00,172.00,368.00,1024.00,258.00,766.00,3063.00,,,,,,,,
23-Aug-13,Derived EIA Weekly Estimates,743.00,805.00,177.00,365.00,1041.00,260.00,781.00,3131.00,,,,,,,,
30-Aug-13,Derived EIA Weekly Estimates,760.00,831.00,181.00,364.00,1052.00,261.00,791.00,3189.00,,,,,,,,
06-Sep-13,Derived EIA Weekly Estimates,778.00,861.00,184.00,362.00,1067.00,262.00,805.00,3253.00,,,,,,,,
13-Sep-13,Derived EIA Weekly Estimates,794.00,885.00,188.00,363.00,1069.00,259.00,810.00,3299.00,,,,,,,,
20-Sep-13,Derived EIA Weekly Estimates,817.00,917.00,192.00,366.00,1094.00,267.00,827.00,3385.00,,,,,,,,
27-Sep-13,Derived EIA Weekly Estimates,840.00,951.00,197.00,373.00,1126.00,278.00,848.00,3487.00,,,,,,,,
04-Oct-13,Derived EIA Weekly Estimates,861.00,980.00,202.00,378.00,1156.00,287.00,869.00,3577.00,,,,,,,,
11-Oct-13,Derived EIA Weekly Estimates,879.00,1008.00,205.00,383.00,1179.00,294.00,885.00,3655.00,,,,,,,,
18-Oct-13,Derived EIA Weekly Estimates,901.00,1036.00,208.00,384.00,1211.00,311.00,900.00,3741.00,,,,,,,,
25-Oct-13,Derived EIA Weekly Estimates,908.00,1046.00,211.00,385.00,1230.00,318.00,912.00,3779.00,,,,,,,,
01-Nov-13,Derived EIA Weekly Estimates,910.00,1054.00,213.00,386.00,1252.00,325.00,927.00,3816.00,,,,,,,,
08-Nov-13,Derived EIA Weekly Estimates,917.00,1057.00,214.00,384.00,1262.00,332.00,930.00,3834.00,,,,,,,,
15-Nov-13,Derived EIA Weekly Estimates,900.00,1042.00,215.00,383.00,1249.00,327.00,922.00,3789.00,,,,,,,,
22-Nov-13,Derived EIA Weekly Estimates,897.00,1031.00,214.00,378.00,1255.00,331.00,924.00,3775.00,,,,,,,,
29-Nov-13,Derived EIA Weekly Estimates,863.00,987.00,208.00,368.00,1188.00,303.00,885.00,3613.00,,,,,,,,
06-Dec-13,Derived EIA Weekly Estimates,843.00,961.00,200.00,350.00,1179.00,309.00,870.00,3533.00,,,,,,,,
13-Dec-13,Derived EIA Weekly Estimates,792.00,881.00,187.00,307.00,1082.00,277.00,805.00,3248.00,,,,,,,,
20-Dec-13,Derived EIA Weekly Estimates,737.00,821.00,182.00,291.00,1041.00,263.00,778.00,3071.00,,,,,,,,
27-Dec-13,Derived EIA Weekly Estimates,715.00,776.00,175.00,281.00,1028.00,269.00,759.00,2975.00,,,,,,,,
03-Jan-14,Derived EIA Weekly Estimates,672.00,721.00,169.00,269.00,986.00,259.00,727.00,2817.00,,,,,,,,
10-Jan-14,Derived EIA Weekly Estimates,606.00,638.00,159.00,246.00,881.00,211.00,670.00,2529.00,,,,,,,,
17-Jan-14,Derived EIA Weekly Estimates,580.00,598.00,153.00,236.00,857.00,213.00,644.00,2424.00,,,,,,,,
24-Jan-14,Derived EIA Weekly Estimates,525.00,528.00,145.00,220.00,765.00,178.00,587.00,2184.00,,,,,,,,
31-Jan-14,Derived EIA Weekly Estimates,459.00,452.00,136.00,202.00,674.00,137.00,537.00,1924.00,,,,,,,,
